0,SanctuaryName,SanctuaryImage,State,animalSanID:,animalPhone,animalSanEmail:,animalSanAddress,animalWebsite,Facebook,Instagram,Twitter,YouTube,DonationPage,Volunteer,VisitationPage,animalBlog,listAnimal,Event Page,animalAbout:
18,"Leilani Farm Sanctuary (Haiku, HI)",http://leilanifarmsanctuary.com/wp-content/uploads/2016/09/LeilaniLogo.jpg,Hawaii:,animal18,808-298-8544,info@leilanifarmsanctuary.org,"260 East Kuiaha Road Haiku, HI 96708",http://www.leilanifarmsanctuary.org/,https://www.facebook.com/leilanifarmsanctuary/,http://instagram.com/laureleeblanchard,blank,blank,http://leilanifarmsanctuary.org/donate/,http://leilanifarmsanctuary.org/volunteer/,http://leilanifarmsanctuary.org/tour-the-sanctuary/,http://leilanifarmsanctuary.org/leilani-blog/,http://leilanifarmsanctuary.org/meet-the-animals/,blank,blank
19,EARTH Sanctuary (Roberts),https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-1/c0.10.200.200/p200x200/10308198_278820472293581_2262742773072214131_n.jpg?_nc_cat=0&oh=e3920beb6a47af630a783b660d2de308&oe=5BE45B3F,Illinois,animal19,(860) 880-0744,blank,"N State Route 54 Thawville, Illinois",https://www.facebook.com/EARTHAnimalSanctuary/,https://www.facebook.com/EARTHAnimalSanctuary/,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
20,Mulberry Hill Farm Animal Sanctuary (Capron),blank,Illinois,animal20,(815) 569-2672,blank,"10554 Wange Road Capron, Illinois 61012",https://www.facebook.com/MulberryHillFarmSanctuary/,https://www.facebook.com/MulberryHillFarmSanctuary/,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
21,Wedrose Acres (Gridley),https://static1.squarespace.com/static/53a46c99e4b01786c91e77ca/t/5410e9e7e4b0f3a0bb76f6be/1410394602095/logo?format=300w,Illinois,animal21,(309) 532-1700,hello@wedroseacres.com,"16747 Kappa Rd Gridley, IL 61744",http://www.wedroseacres.org/,https://www.facebook.com/wedroseacres/,http://instagram.com/wedroseacres,blank,blank,https://www.paypal.com/donate/?token=yaj3S6Y6MwTNXspydwY8xNkaHdugaItxPTNCh7RtiZ4wNhdxG2TQn0vZKOfuXwYrGTaH9G&country.x=US&locale.x=US,blank,blank,blank,blank,blank,blank
22,Uplands Peak Sanctuary (Salem),http://uplandspeaksanctuary.org/wp-content/uploads/2017/10/PEAKlogo_horz_white.png,Indiana,animal22,812-896-2114,blank,"6444 Freedom Arney Rd., Freedom, IN 47431",http://uplandspeaksanctuary.org/,https://www.facebook.com/uplandspeaksanctuary,https://www.instagram.com/uplandspeaksanctuary/,blank,https://www.youtube.com/channel/UCMuqjtc51q2Up1pBfWAqq5Q,blank,blank,blank,blank,blank,blank,blank
23,Iowa Farm Sanctuary (Marengo),https://static1.squarespace.com/static/5a74922d64b05f90a234c721/t/5a7492a0085229eb7bb90795/1529610666562/?format=1500w,Iowa,animal23,(319) 642-7362,CONTACT@IOWAFARMSANCTUARY.ORG,"2485 HWY 6 TRL MARENGO, IOWA 52301",http://iowafarmsanctuary.org/,https://www.facebook.com/iowafarmsanctuary,https://www.instagram.com/iowafarmsanctuary/,blank,blank,https://www.patreon.com/iowafarmsanctuary/memberships,blank,blank,blank,blank,blank,blank
24,Home at Last Animal Sanctuary (Salvisa),blank,Kentucky,animal24,blank,blank,"PO Box 144 Salvisa, KY 40372",http://www.homeatlastanimals.org/,https://www.facebook.com/groups/102841125077/,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
25,Peace Ridge Sanctuary (Penobscot),http://www.peaceridgesanctuary.org/wp-content/uploads/2017/02/PRS-Logo-Horizontal.gif,Maine,animal25,207-722-3035,info@peaceridgesanctuary.org,"1111 Littlefield Road Brooks, Maine 04921",http://www.peaceridgesanctuary.org/,https://www.facebook.com/PeaceRidgeSanctuary/,blank,http://twitter.com/peace_ridge,blank,http://www.peaceridgesanctuary.org/donate/,blank,blank,blank,http://www.peaceridgesanctuary.org/our-residents/,blank,blank
26,Poplar Spring Animal Sanctuary (Poolsville),http://www.animalsanctuary.org/wp-content/uploads/2015/02/poplar-logo.gif,Maryland,animal26,(301) 428-8128,info@animalsanctuary.org,"M., 15200 Mount Nebo Rd, Poolesville, MD 20837",http://www.animalsanctuary.org/,https://www.facebook.com/pages/Poplar-Spring-Animal-Sanctuary/327928947366,https://www.instagram.com/maplefarmsanctuary/,http://www.twitter.com/poplarspring,blank,https://www.classy.org/give/159098/#!/donation/checkout,blank,blank,blank,blank,blank,blank
27,Maple Farm Sanctuary (Mendon),https://www.maplefarmsanctuary.org/images/buttons/toplogo.png,Massachusetts,animal27,508-473-7539,info@maplefarmsanctuary.org,"101 North Avenue Mendon, MA 01756",http://www.maplefarmsanctuary.org/,https://www.facebook.com/pages/Maple-Farm-Sanctuary/7611592460,blank,https://twitter.com/MFSanctuary,blank,blank,blank,blank,blank,blank,blank,blank
28,Sunny Meadow Sanctuary,http://sunnymeadowsanctuary.org/wp-content/uploads/2013/12/sunny-meadow-sanctuary.png,Massachusetts,animal28,blank,blank,blank,http://sunnymeadowsanctuary.org/,https://www.facebook.com/sunnymeadowsanctuary,blank,blank,blank,blank,http://sunnymeadowsanctuary.org/volunteer/,blank,blank,http://sunnymeadowsanctuary.org/animals/,http://sunnymeadowsanctuary.org/calendar/,blank
29,Barn Sanctuary (Near Ann Arbor),https://barnsanct-a1o5zmsmr.netdna-ssl.com/wp-content/uploads/2017/06/bs-logo.png,Michigan,animal29,734-612-3020,blank,"20179 McKernan Rd. Chelsea, MI 48118",https://www.barnsanctuary.org/,https://www.facebook.com/thebarnsanctuary,blank,http://www.twitter.com/barnsanctuary,blank,https://www.barnsanctuary.org/donate/,blank,blank,blank,blank,blank,blank
30,Sasha Farm (Manchester),blank,Michigan,animal30,(734) 428-9617,info@sashafarm.org,"PO Box 222, Manchester, MI USA 48158",http://www.sashafarm.org/,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
31,Broken Roads Ranch (Eden Valley),"https://static.wixstatic.com/media/c17600_6103125d63be4c50a683456b7666418c~mv2_d_6000_4000_s_4_2.jpg/v1/fill/w_308,h_152,al_c,q_80,usm_0.66_1.00_0.01/c17600_6103125d63be4c50a683456b7666418c~mv2_d_6000_4000_s_4_2.webp",Minnesota,animal31,(320) 761-8330,brokenroadsranch@gmail.com,"19709 155th Street, Eden Valley, Mn 55329",http://www.brokenroadsranch.org/,facebook.com/brokenroadsranch,blank,blank,blank,blank,https://www.brokenroadsranch.org/volunteer-opportunities,https://www.brokenroadsranch.org/visiting-days-hours,blank,blank,blank,blank
32,Chicken Run Rescue (Minneapolis),https://media.cargocollective.com/1/5/161955/headerimg/-2.1.png,Minnesota,animal32,blank,info@chickenrunrescue.org,blank,http://www.chickenrunrescue.org/,https://www.facebook.com/Chicken-Run-Rescue-475016785200/,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
33,Spring Farm Sanctuary (Long Lake),https://springfarmsanctuary.org/wp-content/uploads/2018/05/sfslogowhite250.png,Minnesota,animal33,blank,robin@springfarmsanctuary.org,"1325 Tamarack Drive Long Lake, MN 55356",https://www.springfarmsanctuary.org/,https://www.facebook.com/springfarmsanctuary/,http://instagram.com/springfarmsanctuary,blank,blank,blank,blank,blank,blank,blank,https://springfarmsanctuary.org/events/,"Spring Farm Sanctuary is a 501(c)(3) non-profit and one of the first farm animal sanctuaries in Minnesota. We are committed to ending farm animal cruelty and promoting vegan living through our rescue, rehabilitation and education efforts.We provide a home for abused and neglected farm animals. We seek to educate the local community to raise awareness of the horrible conditions animals face in factory farming, as well as the dangerous effects factory farming has on our health and the environment. Through our events and visiting days, we encourage the community to connect with our animals and realize how sensitive, emotional and caring they are. We also work with local and state governmental organizations and agencies to advocate for laws and policies that prevent animal suffering and promote the fair and compassionate treatment of animals.Please sign up for our email newsletter to stay up-to-date on our progress. A more compassionate world begins with you!Spring Farm Sanctuary was founded in 2016, by Robin Johnson. A lifelong vegetarian and now vegan, Robin has dedicated much of her life to advocate and care for animals and animal rights. Robin founded Save Minnesota Moose, a 501(c)(3) organization focused on protecting the moose population in MN. She is an active volunteer at Underdog Rescue and Animal Folks and is a former board member of Pause for Paws."
34,Carolina Waterfowl Rescue (Indian Trail),https://static1.squarespace.com/static/5a790ac5a9db09f34c0e31f6/t/5a79356c71c10b8ee66877e0/1527899570498/?format=1500w,North Carolina,animal34,704.668.9486,info@cwrescue.org,"5403 Poplin Rd. Indian Trail, NC 28079",http://www.carolinawaterfowlrescue.com/,blank,blank,blank,blank,blank,blank,blank,blank,blank,https://www.cwrescue.org/events/,blank
35,Piedmont Farm Animal Refuge,http://piedmontrefuge.org/,North Carolina,animal35,919-533-4013,blank,"Piedmont Farm Animal Refuge 7236 NC Hwy 87 N Pittsboro, NC 27312",http://piedmontrefuge.org/,https://www.facebook.com/PiedmontFarmAnimalRefuge,https://www.instagram.com/piedmont_farm_animal_refuge/,https://twitter.com/PiedmontRefuge,blank,https://www.paypal.com/uk/fundraiser/charity/151134,http://piedmontrefuge.org/membership/volunteer/,http://piedmontrefuge.org/tour-information/,http://piedmontrefuge.org/news/,blank,http://piedmontrefuge.org/news/,blank
36,TRIANGLE CHICKEN ADVOCATES!,https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-1/c0.9.200.200/p200x200/20108236_1168797536559804_6423726859264742461_n.jpg?_nc_cat=0&oh=2563b28a80f3553eaa92b5a93c2db887&oe=5BE9ABF8,North Carolina,animal36,blank,blank,blank,https://trianglechickenadvocates.org/,http://www.facebook.com/TriangleChanceforAll,blank,blank,blank,blank,blank,blank,blank,blank,https://trianglechickenadvocates.org/events/,blank
37,For the Animals Sanctuary (Blairstown),https://fortheanimalssanctuary.wordpress.com/,New Jersey,animal37,(908) 362-5224,blank,"8 Cherokee Trail, Blairstown, NJ 07825",http://www.fortheanimalssanctuary.org/,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
38,The Barnyard Sanctuary,https://barnyardsanctuary.org/wp-content/themes/earth/images/logo.jpg,New Jersey,animal38,973-670-4477,info@barnyardsanctuary.org,"The Barnyard Sanctuary PO Box 167, Blairstown, NJ 07825",https://barnyardsanctuary.org/,https://www.facebook.com/TheBarnyardSanctuary/,https://www.instagram.com/BarnyardSanctuary/,https://twitter.com/TheBarnyardNJ,https://www.youtube.com/channel/UCqanFTUaxwenXCvmiuLSgWQ,https://barnyardsanctuary.org/how-you-can-help/,https://barnyardsanctuary.org/hay-helper/,blank,blank,https://barnyardsanctuary.org/adopt-me/,blank,blank
39,Rancho Relaxo,http://www.ranchorelaxonj.org/wordpress/wp-content/themes/blankslate-child/img/--Logo/ranchorelaxo-logo.png,New Jersey,animal39,blank,blank,blank,http://www.ranchorelaxonj.org/,https://www.facebook.com/ranchorelaxonj,https://www.instagram.com/boochaces/,blank,blank,https://www.patreon.com/boochaces/memberships,blank,blank,blank,http://www.ranchorelaxonj.org/animals/,blank,blank
40,The Chicken Refuge,https://1.bp.blogspot.com/-Xg5AdieL-pQ/WVEKgiTbtXI/AAAAAAAAMYk/IPL7EJCtiBsgS578xAT-U0zzG8VPmNJCACLcBGAs/s320/chicken3alogo.jpg,New Jersey,animal40,908-377-8931,info@thechickenrefuge.org,"PO Box 120, Whitehouse Station, NJ 08889",http://www.thechickenrefuge.org/,https://www.facebook.com/thechickenrefuge/,https://www.instagram.com/thechickenrefuge/,https://twitter.com/thechickenrefug,blank,https://actionsprout.io/F57799/,blank,blank,blank,blank,blank,blank
41,Funny Farm Rescue Animal Sanctuary,http://www.funnyfarmrescue.org/index_htm_files/6398.png,New Jersey,animal41,(609) 742-9410,laurie@funnyfarmrescue.org,"6908 Railroad Blvd. Mays Landing, NJ 08330",http://www.funnyfarmrescue.org/,https://www.facebook.com/FunnyFarmRescue,blank,blank,blank,http://www.funnyfarmrescue.org/donate.htm,blank,blank,blank,http://www.funnyfarmrescue.org/gallery.htm,blank,blank
42,Tamerlaine Farm Animal Sanctuary,https://static1.squarespace.com/static/51474270e4b0ad02dfd3b035/t/58471ac9579fb36bacea3683/1527767666298/?format=1500w,New Jersey,animal42,blank,info@tamerlainefarm.org,"147 River Road, Montague, NJ 07827",blank,https://www.facebook.com/1281188380,https://www.instagram.com/tamerlainefarm/,https://twitter.com/TamerlaineFAS,blank,https://tamerlainefarm.org/donate,https://tamerlainefarm.org/volunteer/,https://tamerlainefarm.org/contact/,blank,https://tamerlainefarm.org/meet-the-animals/,blank,blank
43,Kindred Spirits Animal Sanctuary (Santa Fe),blank,New Mexico,animal43,505-471-5366,kindredspiritsnm@earthlink.net,"3749-A State Road 14 Santa Fe, NM, 87508 United States",http://www.kindredspiritsnm.org/,https://www.facebook.com/KindredSpiritsAnimalSanctuary/,blank,blank,blank,blank,blank,blank,blank,http://www.kindredspiritsnm.org/meet-the-animals-1/,http://www.kindredspiritsnm.org/new-page/,blank
44,Old Windmill Trail Farm Animal Sanctuary (Cerrillos),blank,New Mexico,animal44,505 - 660 - 3475,karinbrandianimalart@gmail.com,"312 Old Windmill Trail, Cerrillos, New Mexico, 87010",https://www.care2.com/causes/the-olde-windmill-trail-farm-animal-sanctuary.html,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
45,Catskill Animal Sanctuary (Saugerties),https://casanctuary.org/wp-content/uploads/2017/10/Compact-Logo.png,New York,animal45,(845) 336-8447,communications@casanctuary.org,"316 Old Stage Road, Saugerties, NY 12477",http://casanctuary.org/,blank,blank,blank,blank,https://secure.casanctuary.org/np/clients/catskillanimal/donation.jsp?campaign=1,blank,https://casanctuary.org/getinvolved/programs/visiting-cas/,blank,https://casanctuary.org/about/meet-animals-new/,https://casanctuary.org/events/,blank
46,Farm Sanctuary (Watkins Glen),https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-1/p200x200/12654654_10153933551483824_7770142689115197870_n.png?_nc_cat=1&oh=d976e422298ae6be861e26c9d65040f4&oe=5BDD780D,New York,animal46,blank,info@farmsanctuary.org,blank,http://www.farmsanctuary.org/,blank,blank,blank,blank,blank,blank,https://www.farmsanctuary.org/the-sanctuaries/watkins-glen-ny/tours/,blank,blank,blank,blank
47,"Safe Haven Farm Sanctuary (Poughquag, NY)",https://safehavenfarmsanctuary.org/wordpress/wp-content/uploads/2014/10/LogoQM3white1.png,New York,animal47,(845) 724-5138,farmanimals.crain@gmail.com,"542 Gardner Hollow Road, Poughquag, NY 12570",http://safehavenfarmsanctuary.org/,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
48,Woodstock Farm Animal Sanctuary (Woodstock),http://woodstocksanctuary.org/wp-content/themes/woodstocksanctuary/images/woodstock_logo.jpg,New York,animal48,845-247-5700,blank,"2 Rescue Road, High Falls, NY 12440",http://woodstocksanctuary.org/,https://www.facebook.com/WoodstockFarm,https://www.instagram.com/woodstocksanctuary/,https://twitter.com/WoodstockFarm,https://www.youtube.com/user/WoodstockSanctuary,https://donate.woodstocksanctuary.org/give/50028/#!/donation/checkout,http://woodstocksanctuary.org/volunteer/,http://woodstocksanctuary.org/hours/,blank,http://woodstocksanctuary.org/meet-the-animals,blank,blank
49,Happy Trails Farm Animal Sanctuary,http://happytrailsfarm.org/wp-content/uploads/2017/08/HTFAS_LOGO_1C_WHT.png,Ohio,animal49,blank,blank,blank,http://www.happytrailsfarm.org/,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
50,Sunrise Sanctuary (Marysville),http://www.sunrisesanctuary.org/wp-content/uploads/2018/04/cropped-logo-2.png,Ohio,animal50,937-578-8771,blank,"16730 Martin Welch Road, Marysville, OH 43040",http://www.sunrisesanctuary.org/,https://www.facebook.com/SunriseSanctuary/,blank,blank,blank,http://www.sunrisesanctuary.org/how-you-can-help/donate/,http://www.sunrisesanctuary.org/volunteer/,http://www.sunrisesanctuary.org/open-barn-days/,blank,blank,http://www.sunrisesanctuary.org/open-barn-days/,blank
51,Green Acres Farm Sanctuary (Silverton),http://greenacresfarmsanctuary.org/wp-content/uploads/2012/04/Green-Aceres-logo.png,Oregon,animal51,blank,greenacresfarmsanctuary@hotmail.com,"P.O. Box 904, Silverton OR 97381",http://www.greenacresfarmsanctuary.org/,http://www.facebook.com/greenacresfarmsanctuary,https://www.instagram.com/greenacresfarmsanctuary,blank,blank,https://www.paypal.com/donate/?token=JYpfisrTV7nF8OTrkc2sGtzemvLMKov5pyuUCBuudU6Pr_FF-qZGs5Ya1P4hsI6kHbsmHm&country.x=US&locale.x=US,blank,http://greenacresfarmsanctuary.org/educational-tours/,http://greenacresfarmsanctuary.org/farm-news-events/,http://greenacresfarmsanctuary.org/meet-the-animals/,http://greenacresfarmsanctuary.org/farm-news-events/,blank
52,Lighthouse Farm Sanctuary (Scio),https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-1/13729127_10153862840123511_6785530413020889785_n.jpg?_nc_cat=0&oh=212752b287424cfbbc4c385efa26f824&oe=5BE203A0,Oregon,animal52,blank,info@lighthousefarmsanctuary.org,"PO Box 451 Scio, OR 97374",https://www.facebook.com/lighthousefarmsanctuary,https://www.facebook.com/lighthousefarmsanctuary,https://www.instagram.com/lighthousefarmsanctuary/?hl=en,https://twitter.com/lf_sanctuary,blank,http://www.lighthousefarmsanctuary.org/donate,http://www.lighthousefarmsanctuary.org/volunteer,blank,blank,http://www.lighthousefarmsanctuary.org/their-stories,http://www.lighthousefarmsanctuary.org/calendar,blank
53,Out to Pasture Sanctuary (Estacada),https://pbs.twimg.com/profile_images/2383504357/qzjqz3vjoo7wvvo5igvb_400x400.jpeg,Oregon,animal53,503-756-8652,kit.collins@gmail.com,"33190 SE Regan Hill Rd, Estacada, Oregon 97023",http://www.outtopasturesanctuary.org/,https://www.facebook.com/OTPSanctuary,https://www.instagram.com/otpsanctuary/,https://twitter.com/OTPSanctuary,blank,blank,blank,blank,blank,blank,blank,blank
54,Sanctuary One (Jacksonville),https://sanctuaryone.org/wp-content/themes/theme1563/images/logo.png,Oregon,animal54,541.899.8627,info@SanctuaryOne.org,"13195 Upper Applegate Road, Jacksonville, OR 97530",http://www.sanctuaryone.org/,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
